State,Model,Scenario,Year,Tmax_C
ANDAMAN & NICOBAR,GFDL,historical,1981,28.14848242
ANDAMAN & NICOBAR,GFDL,historical,1982,28.25974404
ANDAMAN & NICOBAR,GFDL,historical,1983,28.10915907
ANDAMAN & NICOBAR,GFDL,historical,1984,27.83028107
ANDAMAN & NICOBAR,GFDL,historical,1985,27.76935245
ANDAMAN & NICOBAR,GFDL,historical,1986,27.98799209
ANDAMAN & NICOBAR,GFDL,historical,1987,28.07517681
ANDAMAN & NICOBAR,GFDL,historical,1988,27.92929075
ANDAMAN & NICOBAR,GFDL,historical,1989,27.99670044
ANDAMAN & NICOBAR,GFDL,historical,1990,28.28693596
ANDAMAN & NICOBAR,GFDL,historical,1991,28.46485323
ANDAMAN & NICOBAR,GFDL,historical,1992,27.61884292
ANDAMAN & NICOBAR,GFDL,historical,1993,27.62494732
ANDAMAN & NICOBAR,GFDL,historical,1994,28.16752843
ANDAMAN & NICOBAR,GFDL,historical,1995,28.02468459
ANDAMAN & NICOBAR,GFDL,historical,1996,27.88466386
ANDAMAN & NICOBAR,GFDL,historical,1997,28.1511708
ANDAMAN & NICOBAR,GFDL,historical,1998,28.08292235
ANDAMAN & NICOBAR,GFDL,historical,1999,28.16260268
ANDAMAN & NICOBAR,GFDL,historical,2000,28.17532297
ANDAMAN & NICOBAR,GFDL,historical,2001,28.57444464
ANDAMAN & NICOBAR,GFDL,historical,2002,28.53341787
ANDAMAN & NICOBAR,GFDL,historical,2003,28.20869339
ANDAMAN & NICOBAR,GFDL,historical,2004,28.64996549
ANDAMAN & NICOBAR,GFDL,historical,2005,28.35506829
ANDAMAN & NICOBAR,GFDL,historical,2006,28.17400403
ANDAMAN & NICOBAR,GFDL,historical,2007,28.31971962
ANDAMAN & NICOBAR,GFDL,historical,2008,28.40541995
ANDAMAN & NICOBAR,GFDL,historical,2009,28.49002597
ANDAMAN & NICOBAR,GFDL,historical,2010,28.42357295
ANDAMAN & NICOBAR,GFDL,historical,2011,28.2178307
ANDAMAN & NICOBAR,GFDL,historical,2012,28.50560231
ANDAMAN & NICOBAR,GFDL,historical,2013,28.72807018
