Filename,Unsuitable,Suitable,Adaptation Benefits,Unsuitable_Area,Suitable_Area,Adaptation Benefits_Area
Chickpea_Afghanistan_Suitability_Chickpea_ADPTI,0,0,250,0,0,4200.6836
Chickpea_Afghanistan_Suitability_Chickpea_ADVAR,250,0,0,4200.6836,0,0
Chickpea_Afghanistan_Suitability_Chickpea_BBFIB,250,0,0,4200.6836,0,0
Chickpea_Afghanistan_Suitability_Chickpea_FRT,250,0,0,4200.6836,0,0
Chickpea_Afghanistan_Suitability_Chickpea_INSUR,0,0,250,0,0,4200.6836
Chickpea_Afghanistan_Suitability_Chickpea_LASLV,250,0,0,4200.6836,0,0
Chickpea_Afghanistan_Suitability_Chickpea_MICIR,250,0,0,4200.6836,0,0
Chickpea_Afghanistan_Suitability_Chickpea_MULCH,0,0,250,0,0,4200.6836
Chickpea_Afghanistan_Suitability_Chickpea_PNMHT,250,0,0,4200.6836,0,0
Chickpea_Afghanistan_Suitability_Chickpea_PNMLT,250,0,0,4200.6836,0,0
Chickpea_Afghanistan_Suitability_Chickpea_PWMGT,250,0,0,4200.6836,0,0
Chickpea_Afghanistan_Suitability_Chickpea_WEAGA,0,0,250,0,0,4200.6836
Chickpea_Afghanistan_Suitability_Chickpea_WHSRC,250,0,0,4200.6836,0,0
Chickpea_Afghanistan_Suitability_Chickpea_ZTILL,0,0,250,0,0,4200.6836
Chickpea_BADAKHSHAN_Suitability_Chickpea_ADPTI,0,0,0,0,0,0
Chickpea_BADAKHSHAN_Suitability_Chickpea_ADVAR,0,0,0,0,0,0
Chickpea_BADAKHSHAN_Suitability_Chickpea_BBFIB,0,0,0,0,0,0
Chickpea_BADAKHSHAN_Suitability_Chickpea_FRT,0,0,0,0,0,0
Chickpea_BADAKHSHAN_Suitability_Chickpea_INSUR,0,0,0,0,0,0
Chickpea_BADAKHSHAN_Suitability_Chickpea_LASLV,0,0,0,0,0,0
Chickpea_BADAKHSHAN_Suitability_Chickpea_MICIR,0,0,0,0,0,0
Chickpea_BADAKHSHAN_Suitability_Chickpea_MULCH,0,0,0,0,0,0
Chickpea_BADAKHSHAN_Suitability_Chickpea_PNMHT,0,0,0,0,0,0
Chickpea_BADAKHSHAN_Suitability_Chickpea_PNMLT,0,0,0,0,0,0
Chickpea_BADAKHSHAN_Suitability_Chickpea_PWMGT,0,0,0,0,0,0
Chickpea_BADAKHSHAN_Suitability_Chickpea_WEAGA,0,0,0,0,0,0
Chickpea_BADAKHSHAN_Suitability_Chickpea_WHSRC,0,0,0,0,0,0
Chickpea_BADAKHSHAN_Suitability_Chickpea_ZTILL,0,0,0,0,0,0
Chickpea_BADGHIS_Suitability_Chickpea_ADPTI,0,0,0,0,0,0
Chickpea_BADGHIS_Suitability_Chickpea_ADVAR,0,0,0,0,0,0
Chickpea_BADGHIS_Suitability_Chickpea_BBFIB,0,0,0,0,0,0
Chickpea_BADGHIS_Suitability_Chickpea_FRT,0,0,0,0,0,0
Chickpea_BADGHIS_Suitability_Chickpea_INSUR,0,0,0,0,0,0
Chickpea_BADGHIS_Suitability_Chickpea_LASLV,0,0,0,0,0,0
Chickpea_BADGHIS_Suitability_Chickpea_MICIR,0,0,0,0,0,0
Chickpea_BADGHIS_Suitability_Chickpea_MULCH,0,0,0,0,0,0
Chickpea_BADGHIS_Suitability_Chickpea_PNMHT,0,0,0,0,0,0
Chickpea_BADGHIS_Suitability_Chickpea_PNMLT,0,0,0,0,0,0
Chickpea_BADGHIS_Suitability_Chickpea_PWMGT,0,0,0,0,0,0
Chickpea_BADGHIS_Suitability_Chickpea_WEAGA,0,0,0,0,0,0
Chickpea_BADGHIS_Suitability_Chickpea_WHSRC,0,0,0,0,0,0
Chickpea_BADGHIS_Suitability_Chickpea_ZTILL,0,0,0,0,0,0
Chickpea_BAGHLAN_Suitability_Chickpea_ADPTI,0,0,0,0,0,0
Chickpea_BAGHLAN_Suitability_Chickpea_ADVAR,0,0,0,0,0,0
Chickpea_BAGHLAN_Suitability_Chickpea_BBFIB,0,0,0,0,0,0
Chickpea_BAGHLAN_Suitability_Chickpea_FRT,0,0,0,0,0,0
Chickpea_BAGHLAN_Suitability_Chickpea_INSUR,0,0,0,0,0,0
Chickpea_BAGHLAN_Suitability_Chickpea_LASLV,0,0,0,0,0,0
Chickpea_BAGHLAN_Suitability_Chickpea_MICIR,0,0,0,0,0,0
Chickpea_BAGHLAN_Suitability_Chickpea_MULCH,0,0,0,0,0,0
