Filename,Very Low,Low,Medium,High,Very High,Nil,Very Low_Area,Low_Area,Medium_Area,High_Area,Very High_Area,Nil_Area
Chickpea_Afghanistan_ZZ_Cold stress during flowering,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_Afghanistan_ZZ_Drought,250,0,0,0,0,0,4200.6836,0,0,0,0,0
Chickpea_Afghanistan_ZZ_Excess rainfall,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_Afghanistan_ZZ_Frost,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_Afghanistan_ZZ_Heat stress,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_Afghanistan_ZZ_High tempearture during flowering,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_BADAKHSHAN_ZZ_Cold stress during flowering,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_BADAKHSHAN_ZZ_Drought,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_BADAKHSHAN_ZZ_Excess rainfall,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_BADAKHSHAN_ZZ_Frost,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_BADAKHSHAN_ZZ_Heat stress,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_BADAKHSHAN_ZZ_High tempearture during flowering,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_BADGHIS_ZZ_Cold stress during flowering,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_BADGHIS_ZZ_Drought,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_BADGHIS_ZZ_Excess rainfall,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_BADGHIS_ZZ_Frost,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_BADGHIS_ZZ_Heat stress,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_BADGHIS_ZZ_High tempearture during flowering,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_BAGHLAN_ZZ_Cold stress during flowering,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_BAGHLAN_ZZ_Drought,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_BAGHLAN_ZZ_Excess rainfall,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_BAGHLAN_ZZ_Frost,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_BAGHLAN_ZZ_Heat stress,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_BAGHLAN_ZZ_High tempearture during flowering,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_BagmatiDIV_ZZ_Cold stress during flowering,0,50,175,275,1250,0,0,13280.045,67215.95,131635.06,294722.56,0
Chickpea_BagmatiDIV_ZZ_Drought,1800,0,0,0,0,0,513234.5,0,0,0,0,0
Chickpea_BagmatiDIV_ZZ_Excess rainfall,0,0,0,0,0,1750,0,0,0,0,0,506853.62
