OBJECTID_1,Country_Co,CN_DT_Code,STATE,D_NAME_1
81,AF,AFG_368,NANGARHAR,Deh Bala
82,AF,AFG_232,HIRAT,Gulran
83,AF,AFG_237,HIRAT,Koshk
84,AF,AFG_367,NANGARHAR,Chaparhar
85,AF,AFG_48,BADGHIS,Koshki Kohna
86,AF,AFG_375,NANGARHAR,Pachier Agam
87,AF,AFG_236,HIRAT,Kohsan
88,AF,AFG_356,LAGHMAN,Khogayani
89,AF,AFG_364,LOGAR,Shirzad
90,AF,AFG_231,HIRAT,Ghoryan
91,AF,AFG_254,KABUL,Hesarak
92,AF,AFG_239,HIRAT,Zanda Jan
93,AF,AFG_246,KABUL,Azra
94,AF,AFG_233,HIRAT,Guzara
95,AF,AFG_46,BADGHIS,Karukh
96,AF,AFG_359,LOGAR,Ali Khail (Jaji)
97,AF,AFG_303,KHOST,Dand Patan
98,AF,AFG_238,HIRAT,Pashtun Zarghun
99,AF,AFG_388,PAKTYA,Chamkani
100,AF,AFG_310,KHOST,Laja Ahmad Khail
101,AF,AFG_316,KHOST,Sayed Karam
102,AF,AFG_358,LOGAR,Ahmad Abad
103,AF,AFG_50,BADGHIS,Obe
104,AF,AFG_308,KHOST,Jani Khail
105,AF,AFG_148,FARAH,Farsi
106,AF,AFG_304,KHOST,Gardiz
107,AF,AFG_212,GHAZNI,Zurmat
108,AF,AFG_143,FARAH,Anar Dara
109,AF,AFG_389,PAKTYA,Shawak
110,AF,AFG_157,FARAH,Qala Ka
111,AF,AFG_151,FARAH,Khaki Safed
112,AF,AFG_160,FARAH,Shindand
113,AF,AFG_322,KHOST,Zadran
114,AF,AFG_307,KHOST,Jaji Maidan
115,AF,AFG_302,KHOST,Bak
116,AF,AFG_159,FARAH,Shib Koh
117,AF,AFG_315,KHOST,Sabri
118,AF,AFG_153,FARAH,Lash Wa Juwayn
119,AF,AFG_320,KHOST,Tere Zayi
120,AF,AFG_156,FARAH,Pusht Rod
121,AF,AFG_312,KHOST,Mosa Khail
122,AF,AFG_147,FARAH,Farah
123,AF,AFG_314,KHOST,Qalandar
124,AF,AFG_145,FARAH,Bala Buluk
125,AF,AFG_313,KHOST,Nadir Shah Kot
126,AF,AFG_149,FARAH,Gulistan
127,AF,AFG_309,KHOST,Khost(Matun)
128,AF,AFG_306,KHOST,Gurbuz
129,AF,AFG_155,FARAH,Pur Chaman
130,AF,AFG_311,KHOST,Mando Zayi
131,AF,AFG_319,KHOST,Tani
132,AF,AFG_60,BAGHLAN,Chahar Dara
133,AF,AFG_144,FARAH,Bakwa
134,AF,AFG_317,KHOST,Shamal
135,AF,AFG_353,KUNDUZ,Kunduz
136,AF,AFG_318,KHOST,Spira
137,AF,AFG_66,BAGHLAN,Guzargahi Nur
138,AF,AFG_264,KABUL,Mohammad Agha
139,AF,AFG_362,LOGAR,Khoshi
140,AF,AFG_65,BAGHLAN,Farang Wa Gharu
141,AF,AFG_363,LOGAR,Puli Alam
142,AF,AFG_73,BAGHLAN,Khost Wa Firing
143,AF,AFG_360,LOGAR,Baraki Barak
144,AF,AFG_79,BAGHLAN,Puli Hisar
145,AF,AFG_361,LOGAR,Charkh
146,AF,AFG_193,GHAZNI,Kharwar
147,AF,AFG_59,BAGHLAN,Burka
148,AF,AFG_336,KUNAR,Khas Kunar
149,AF,AFG_341,KUNAR,Nurgal
150,AF,AFG_63,BAGHLAN,Dih Salah
151,AF,AFG_328,KUNAR,Chawkay
152,AF,AFG_76,BAGHLAN,Khwaja Hijran (Jilga Nah*
153,AF,AFG_339,KUNAR,Narang
154,AF,AFG_150,FARAH,Kang
155,AF,AFG_57,BAGHLAN,Baghlani Jadid
156,AF,AFG_327,KUNAR,Chapa Dara
157,AF,AFG_378,NIMROZ,Zaranj
158,AF,AFG_325,KUNAR,Asadabad
159,AF,AFG_80,BAGHLAN,Puli Khumri
160,AF,AFG_343,KUNAR,Sarkani
161,AF,AFG_215,HILMAND,Chahar Burjak
162,AF,AFG_77,BAGHLAN,Nahrin
163,AF,AFG_338,KUNAR,Marawara
164,AF,AFG_146,FARAH,Chakhansur
165,AF,AFG_55,BAGHLAN,Andarab
166,AF,AFG_72,BAGHLAN,Khinjan
167,AF,AFG_344,KUNAR,Shaygal wa shital
168,AF,AFG_152,FARAH,Khash Rod
169,AF,AFG_64,BAGHLAN,Dushi
170,AF,AFG_331,KUNAR,Dara-I-Pech
171,AF,AFG_217,HILMAND,Dishu
172,AF,AFG_62,BAGHLAN,Dahana-I- Ghuri
173,AF,AFG_346,KUNAR,Wata Pur
174,AF,AFG_228,HILMAND,Reg(Khanshin)
175,AF,AFG_88,BAGHLAN,Tala Wa Barfak
176,AF,AFG_329,KUNAR,Dangam
177,AF,AFG_218,HILMAND,Garmser
178,AF,AFG_326,KUNAR,Bar Kunar
179,AF,AFG_22,BADAKHSHAN,Paryan
180,AF,AFG_226,HILMAND,Nawa-I- Barak Zayi
181,AF,AFG_332,KUNAR,Ghaziabad
182,AF,AFG_71,BAGHLAN,Khenj (Hese- Awal)
183,AF,AFG_224,HILMAND,Nad Ali
184,AF,AFG_340,KUNAR,Nari
185,AF,AFG_323,KHOST,Ziruk
186,AF,AFG_225,HILMAND,Nahri Sarraj
187,AF,AFG_58,BAGHLAN,Bazarak
188,AF,AFG_221,HILMAND,Lashkar Gah
189,AF,AFG_381,PAKTIKA,Nika
190,AF,AFG_291,KAPISA,Dara
191,AF,AFG_230,HILMAND,Sangin
192,AF,AFG_305,KHOST,Gayan
193,AF,AFG_299,KAPISA,Rukha
194,AF,AFG_220,HILMAND,Kajaki
195,AF,AFG_321,KHOST,Urgun
196,AF,AFG_301,KAPISA,Unaba
197,AF,AFG_154,FARAH,Naw Zad
198,AF,AFG_383,PAKTIKA,Sar Hawza
199,AF,AFG_86,BAGHLAN,Shutul
200,AF,AFG_223,HILMAND,Musa Qala
201,AF,AFG_196,GHAZNI,Mata Khan
202,AF,AFG_244,KABUL,Alasay
203,AF,AFG_205,GHAZNI,Sharan
204,AF,AFG_127,DAYKUNDI,Baghran
205,AF,AFG_273,KABUL,Tagab
206,AF,AFG_379,PAKTIKA,Barmal
207,AF,AFG_229,HILMAND,Registan
208,AF,AFG_384,PAKTIKA,Sarobi
209,AF,AFG_297,KAPISA,Mahmudi Raqi
210,AF,AFG_287,KANDAHAR,Shorabak
211,AF,AFG_382,PAKTIKA,Omna
212,AF,AFG_209,GHAZNI,Yosuf Khel
213,AF,AFG_294,KAPISA,Hisa-i-Duwumi Kohistan
214,AF,AFG_288,KANDAHAR,Spin Boldak
215,AF,AFG_387,PAKTIKA,Yahya Khel
216,AF,AFG_293,KAPISA,Hisa-i-Awali Kohistan
217,AF,AFG_275,KANDAHAR,Arghistan
218,AF,AFG_211,GHAZNI,Zarghun Shahr
219,AF,AFG_227,HILMAND,Panjwayi
220,AF,AFG_82,BAGHLAN,Salang
221,AF,AFG_279,KANDAHAR,Kandahar
222,AF,AFG_295,KAPISA,Jabalussaraj
223,AF,AFG_191,GHAZNI,Jani Khel
224,AF,AFG_277,KANDAHAR,Daman
225,AF,AFG_260,KABUL,Kohi Safi
226,AF,AFG_185,GHAZNI,Dila
227,AF,AFG_285,KANDAHAR,Shah Wali Kot
228,AF,AFG_208,GHAZNI,Waza Khwa
229,AF,AFG_247,KABUL,Bagram
230,AF,AFG_300,KAPISA,Sayd Khel
231,AF,AFG_274,KANDAHAR,Arghandab
232,AF,AFG_380,PAKTIKA,Gomal
233,AF,AFG_222,HILMAND,Maywand
234,AF,AFG_250,KABUL,Chaharikar
235,AF,AFG_219,HILMAND,Ghorak
236,AF,AFG_385,PAKTIKA,Turwo
237,AF,AFG_85,BAGHLAN,Shinwari
238,AF,AFG_290,KANDAHAR,Zhari
239,AF,AFG_386,PAKTIKA,Wor Mayi
240,AF,AFG_87,BAGHLAN,Sia Gird ( Ghorbund)
241,AF,AFG_280,KANDAHAR,Khakrez
242,AF,AFG_199,GHAZNI,Nawa
243,AF,AFG_271,KABUL,Surkhi Parsa
244,AF,AFG_38,BADGHIS,Ab Kamari
245,AF,AFG_83,BAGHLAN,Shekh  Ali
246,AF,AFG_186,GHAZNI,Gelan
247,AF,AFG_49,BADGHIS,Muqur
248,AF,AFG_101,BALKH,Kaldar
249,AF,AFG_197,GHAZNI,Muqur
250,AF,AFG_96,BALKH,Dawlatabad
251,AF,AFG_52,BADGHIS,Qala-I- Naw
252,AF,AFG_216,HILMAND,Dihrawud
253,AF,AFG_179,GHAZNI,Ab Band
254,AF,AFG_106,BALKH,Nahri Shahi
255,AF,AFG_188,GHAZNI,Giro
256,AF,AFG_139,DAYKUNDI,Shahidi Hassas
257,AF,AFG_105,BALKH,Mazari Sharif
258,AF,AFG_180,GHAZNI,Andar
259,AF,AFG_284,KANDAHAR,Nesh
260,AF,AFG_296,KAPISA,Koh Band
261,AF,AFG_184,GHAZNI,Dih Yak
262,AF,AFG_51,BADGHIS,Qadis
263,AF,AFG_298,KAPISA,Nijrab
264,AF,AFG_210,GHAZNI,Zana Khan
265,AF,AFG_104,BALKH,Marmul
266,AF,AFG_214,GHOR,Tulak
267,AF,AFG_92,BALKH,Chahar Kint
268,AF,AFG_187,GHAZNI,Ghazni
269,AF,AFG_158,FARAH,Saghar
270,AF,AFG_111,BALKH,Sholgara
271,AF,AFG_194,GHAZNI,Khwaja Umari
272,AF,AFG_97,BALKH,Dihdadi
273,AF,AFG_201,GHAZNI,Rashidan
274,AF,AFG_141,DAYKUNDI,Tirin Kot
275,AF,AFG_89,BALKH,Balkh
276,AF,AFG_98,BALKH,Fayzabad
277,AF,AFG_207,GHAZNI,Wali Muhammadi Shahid
278,AF,AFG_91,BALKH,Chahar Bolak
279,AF,AFG_243,JAWZJAN,Mangajek
280,AF,AFG_206,GHAZNI,Waghaz
281,AF,AFG_169,FARYAB,Khwaja Du Koh
282,AF,AFG_93,BALKH,Chimtal
283,AF,AFG_181,GHAZNI,Bahrami Shahid (Jaghatu)
284,AF,AFG_177,FARYAB,Shibirghan
285,AF,AFG_102,BALKH,Kishindih
286,AF,AFG_200,GHAZNI,Qarabagh
287,AF,AFG_113,BALKH,Zari
288,AF,AFG_175,FARYAB,Qush Tepa
289,AF,AFG_335,KUNAR,Kamdesh
290,AF,AFG_165,FARYAB,Darzab
291,AF,AFG_67,BAGHLAN,Hazrati Sultan
292,AF,AFG_347,KUNAR,Waygal
293,AF,AFG_242,JAWZJAN,Khaniqa
294,AF,AFG_56,BAGHLAN,Aybak
295,AF,AFG_345,KUNAR,Wama
296,AF,AFG_110,BALKH,Sari Pul
297,AF,AFG_81,BAGHLAN,Ruyi Du Ab
298,AF,AFG_176,FARYAB,Sayyad
299,AF,AFG_342,KUNAR,Nurgaram
300,AF,AFG_75,BAGHLAN,Khuram Wa Sarbagh
301,AF,AFG_117,BAMYAN,Kohistanat
302,AF,AFG_324,KUNAR,Alingar
303,AF,AFG_99,BALKH,Feroz Nakhchir
304,AF,AFG_269,KABUL,Qarghayi
305,AF,AFG_168,FARYAB,Khani Chahar Bagh
306,AF,AFG_95,BALKH,Dara-I-Sufi Payin
307,AF,AFG_262,KABUL,Mihtarlam
308,AF,AFG_163,FARYAB,Andkhoy
309,AF,AFG_94,BALKH,Dara-I-Sufi Bala
310,AF,AFG_174,FARYAB,Qurghan
311,AF,AFG_103,BALKH,Mardyan
312,AF,AFG_173,FARYAB,Qaramqol
313,AF,AFG_31,BADAKHSHAN,Wakhan
314,AF,AFG_240,JAWZJAN,Aqcha
315,AF,AFG_166,FARYAB,Dawlatabad
316,AF,AFG_90,BALKH,Balkhab
317,AF,AFG_178,FARYAB,Shirin Tagab
318,AF,AFG_11,BADAKHSHAN,Ishkashiem
319,AF,AFG_100,BALKH,Gosfandi
320,AF,AFG_170,FARYAB,Khwaja Sabz Posh
321,AF,AFG_109,BALKH,Sangcharak
322,AF,AFG_171,FARYAB,Maymana
323,AF,AFG_28,BADAKHSHAN,Shighnan
324,AF,AFG_390,SARI PUL,Sozma Qala
325,AF,AFG_164,FARYAB,Bilchiragh
326,AF,AFG_69,BAGHLAN,Kahmard
327,AF,AFG_8,BADAKHSHAN,Darwazbala
328,AF,AFG_114,BAMYAN,Bamyan
329,AF,AFG_172,FARYAB,Pashtun Kot
330,AF,AFG_39,BADGHIS,Almar
331,AF,AFG_123,BAMYAN,Sayghan
332,AF,AFG_7,BADAKHSHAN,Darwaz
333,AF,AFG_53,BADGHIS,Qaysar
334,AF,AFG_84,BAGHLAN,Shibar
335,AF,AFG_27,BADAKHSHAN,Shaki
336,AF,AFG_167,FARYAB,Gurziwan
337,AF,AFG_125,BAMYAN,Yakawlang
338,AF,AFG_18,BADAKHSHAN,Kuf Ab
339,AF,AFG_47,BADGHIS,Kohistan
340,AF,AFG_122,BAMYAN,Panjab
341,AF,AFG_132,DAYKUNDI,Gizab
342,AF,AFG_15,BADAKHSHAN,Khwahan
